,tourney_year,tourney_order,tourney_name,tourney_id,tourney_slug,tourney_location,tourney_dates,tourney_month,tourney_day,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,tourney_fin_commit,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,doubles_winner_2_name,doubles_winner_2_url,doubles_winner_2_player_slug,doubles_winner_2_player_id,tourney_year_id
3999,2016,20,ATP World Tour Masters 1000 Miami,403.0,miami,"Miami, United States",2016.03.23,3.0,23.0,96,96,Outdoor,Hard,"$7,037,595",/en/scores/archive/miami/403/2016/results,Novak Djokovic,/en/players/novak-djokovic/d643/overview,novak-djokovic,d643,Pierre-Hugues Herbert,/en/players/pierre-hugues-herbert/h996/overview,pierre-hugues-herbert,h996,Nicolas Mahut,/en/players/nicolas-mahut/m873/overview,nicolas-mahut,m873,2016-403.0
4000,2016,21,Houston,717.0,houston,"Houston, United States",2016.04.04,4.0,4.0,28,28,Outdoor,Clay,"$577,860",/en/scores/archive/houston/717/2016/results,Juan Monaco,/en/players/juan-monaco/ma21/overview,juan-monaco,ma21,Bob Bryan,/en/players/bob-bryan/b588/overview,bob-bryan,b588,Mike Bryan,/en/players/mike-bryan/b589/overview,mike-bryan,b589,2016-717.0
4001,2016,22,Marrakech,360.0,marrakech,"Marrakech, Morocco",2016.04.04,4.0,4.0,28,28,Outdoor,Clay,"€520,070",/en/scores/archive/marrakech/360/2016/results,Federico Delbonis,/en/players/federico-delbonis/d874/overview,federico-delbonis,d874,Guillermo Duran,/en/players/guillermo-duran/d787/overview,guillermo-duran,d787,Maximo Gonzalez,/en/players/maximo-gonzalez/g585/overview,maximo-gonzalez,g585,2016-360.0
4002,2016,23,ATP World Tour Masters 1000 Monte Carlo,410.0,monte-carlo,"Monte Carlo, Monaco",2016.04.10,4.0,10.0,56,56,Outdoor,Clay,"€4,094,505",/en/scores/archive/monte-carlo/410/2016/results,Rafael Nadal,/en/players/rafael-nadal/n409/overview,rafael-nadal,n409,Pierre-Hugues Herbert,/en/players/pierre-hugues-herbert/h996/overview,pierre-hugues-herbert,h996,Nicolas Mahut,/en/players/nicolas-mahut/m873/overview,nicolas-mahut,m873,2016-410.0
4003,2016,24,Barcelona,425.0,barcelona,"Barcelona, Spain",2016.04.18,4.0,18.0,48,48,Outdoor,Clay,"€2,428,355",/en/scores/archive/barcelona/425/2016/results,Rafael Nadal,/en/players/rafael-nadal/n409/overview,rafael-nadal,n409,Bob Bryan,/en/players/bob-bryan/b588/overview,bob-bryan,b588,Mike Bryan,/en/players/mike-bryan/b589/overview,mike-bryan,b589,2016-425.0
4004,2016,25,Bucharest,773.0,bucharest,"Bucharest, Romania",2016.04.18,4.0,18.0,28,28,Outdoor,Clay,"€520,070",/en/scores/archive/bucharest/773/2016/results,Fernando Verdasco,/en/players/fernando-verdasco/v306/overview,fernando-verdasco,v306,Florin Mergea,/en/players/florin-mergea/mb27/overview,florin-mergea,mb27,Horia Tecau,/en/players/horia-tecau/t749/overview,horia-tecau,t749,2016-773.0
4005,2016,26,Estoril,7290.0,estoril,"Estoril, Portugal",2016.04.25,4.0,25.0,28,28,Outdoor,Clay,"€520,070",/en/scores/archive/estoril/7290/2016/results,Nicolas Almagro,/en/players/nicolas-almagro/a479/overview,nicolas-almagro,a479,Eric Butorac,/en/players/eric-butorac/bc35/overview,eric-butorac,bc35,Scott Lipsky,/en/players/scott-lipsky/l580/overview,scott-lipsky,l580,2016-7290.0
4006,2016,27,Istanbul,7163.0,istanbul,"Istanbul, Turkey",2016.04.25,4.0,25.0,28,28,Outdoor,Clay,"€483,080",/en/scores/archive/istanbul/7163/2016/results,Diego Schwartzman,/en/players/diego-schwartzman/sm37/overview,diego-schwartzman,sm37,Flavio Cipolla,/en/players/flavio-cipolla/c723/overview,flavio-cipolla,c723,Dudi Sela,/en/players/dudi-sela/sc56/overview,dudi-sela,sc56,2016-7163.0
4007,2016,28,Munich,308.0,munich,"Munich, Germany",2016.04.25,4.0,25.0,28,28,Outdoor,Clay,"€520,070",/en/scores/archive/munich/308/2016/results,Philipp Kohlschreiber,/en/players/philipp-kohlschreiber/k435/overview,philipp-kohlschreiber,k435,Henri Kontinen,/en/players/henri-kontinen/ka80/overview,henri-kontinen,ka80,John Peers,/en/players/john-peers/pc96/overview,john-peers,pc96,2016-308.0
4008,2016,29,ATP World Tour Masters 1000 Madrid,1536.0,madrid,"Madrid, Spain",2016.05.01,5.0,1.0,56,56,Outdoor,Clay,"€5,719,660",/en/scores/archive/madrid/1536/2016/results,Novak Djokovic,/en/players/novak-djokovic/d643/overview,novak-djokovic,d643,Jean-Julien Rojer,/en/players/jean-julien-rojer/r513/overview,jean-julien-rojer,r513,Horia Tecau,/en/players/horia-tecau/t749/overview,horia-tecau,t749,2016-1536.0
4009,2016,30,ATP World Tour Masters 1000 Rome,416.0,rome,"Rome, Italy",2016.05.08,5.0,8.0,56,56,Outdoor,Clay,"€4,300,755",/en/scores/archive/rome/416/2016/results,Andy Murray,/en/players/andy-murray/mc10/overview,andy-murray,mc10,Bob Bryan,/en/players/bob-bryan/b588/overview,bob-bryan,b588,Mike Bryan,/en/players/mike-bryan/b589/overview,mike-bryan,b589,2016-416.0
4010,2016,31,Geneva,322.0,geneva,"Geneva, Switzerland",2016.05.15,5.0,15.0,28,28,Outdoor,Clay,"€556,195",/en/scores/archive/geneva/322/2016/results,Stan Wawrinka,/en/players/stan-wawrinka/w367/overview,stan-wawrinka,w367,Steve Johnson,/en/players/steve-johnson/j386/overview,steve-johnson,j386,Sam Querrey,/en/players/sam-querrey/q927/overview,sam-querrey,q927,2016-322.0
4011,2016,32,Nice,,,"Nice, France",2016.05.15,5.0,15.0,28,28,Outdoor,Clay,"€520,070",,Dominic Thiem,/en/players/dominic-thiem/tb69/overview,dominic-thiem,tb69,Juan Sebastian Cabal,/en/players/juan-sebastian-cabal/c834/overview,juan-sebastian-cabal,c834,Robert Farah,/en/players/robert-farah/f525/overview,robert-farah,f525,2016-nan
4012,2016,33,Roland Garros,520.0,roland-garros,"Paris, France",2016.05.22,5.0,22.0,128,128,Outdoor,Clay,"€16,008,750",/en/scores/archive/roland-garros/520/2016/results,Novak Djokovic,/en/players/novak-djokovic/d643/overview,novak-djokovic,d643,Feliciano Lopez,/en/players/feliciano-lopez/l397/overview,feliciano-lopez,l397,Marc Lopez,/en/players/marc-lopez/l480/overview,marc-lopez,l480,2016-520.0
4013,2016,34,s-Hertogenbosch,440.0,s-hertogenbosch,"s-Hertogenbosch, Netherlands",2016.06.06,6.0,6.0,28,28,Outdoor,Grass,"€635,645",/en/scores/archive/s-hertogenbosch/440/2016/results,Nicolas Mahut,/en/players/nicolas-mahut/m873/overview,nicolas-mahut,m873,Mate Pavic,/en/players/mate-pavic/pf00/overview,mate-pavic,pf00,Michael Venus,/en/players/michael-venus/v576/overview,michael-venus,v576,2016-440.0
4014,2016,35,Stuttgart,321.0,stuttgart,"Stuttgart, Germany",2016.06.06,6.0,6.0,28,28,Outdoor,Grass,"€675,645",/en/scores/archive/stuttgart/321/2016/results,Dominic Thiem,/en/players/dominic-thiem/tb69/overview,dominic-thiem,tb69,Marcus Daniell,/en/players/marcus-daniell/d763/overview,marcus-daniell,d763,Artem Sitak,/en/players/artem-sitak/sd23/overview,artem-sitak,sd23,2016-321.0
4015,2016,36,Halle,500.0,halle,"Halle, Germany",2016.06.13,6.0,13.0,32,32,Outdoor,Grass,"€1,826,275",/en/scores/archive/halle/500/2016/results,Florian Mayer,/en/players/florian-mayer/mb02/overview,florian-mayer,mb02,Raven Klaasen,/en/players/raven-klaasen/k609/overview,raven-klaasen,k609,Rajeev Ram,/en/players/rajeev-ram/r548/overview,rajeev-ram,r548,2016-500.0
4016,2016,37,London / Queen's Club,311.0,london,"London, Great Britain",2016.06.13,6.0,13.0,32,32,Outdoor,Grass,"€1,928,610",/en/scores/archive/london/311/2016/results,Andy Murray,/en/players/andy-murray/mc10/overview,andy-murray,mc10,Pierre-Hugues Herbert,/en/players/pierre-hugues-herbert/h996/overview,pierre-hugues-herbert,h996,Nicolas Mahut,/en/players/nicolas-mahut/m873/overview,nicolas-mahut,m873,2016-311.0
4017,2016,38,Nottingham,741.0,eastbourne,"Nottingham, Great Britain",2016.06.19,6.0,19.0,48,48,Outdoor,Grass,"€704,805",/en/scores/archive/eastbourne/741/2016/results,Steve Johnson,/en/players/steve-johnson/j386/overview,steve-johnson,j386,Dominic Inglot,/en/players/dominic-inglot/i200/overview,dominic-inglot,i200,Daniel Nestor,/en/players/daniel-nestor/n210/overview,daniel-nestor,n210,2016-741.0
4018,2016,39,Wimbledon,540.0,wimbledon,"London, Great Britain",2016.06.27,6.0,27.0,128,128,Outdoor,Grass,"£13,163,000",/en/scores/archive/wimbledon/540/2016/results,Andy Murray,/en/players/andy-murray/mc10/overview,andy-murray,mc10,Pierre-Hugues Herbert,/en/players/pierre-hugues-herbert/h996/overview,pierre-hugues-herbert,h996,Nicolas Mahut,/en/players/nicolas-mahut/m873/overview,nicolas-mahut,m873,2016-540.0
